# idx, p10_mean, p50_mean, p90_mean, p10_dev, p50_dev, p90_dev
1a, 1.111e+05, 1.111e+05, 1.111e+05, 1.000e-13, 1.000e-13, 1.000e-13
1b, 1.049e+05, 1.049e+05, 1.049e+05, 1.000e-13, 1.000e-13, 1.000e-13
2, 1.860e+04, 1.860e+04, 1.860e+04, 1.000e-13, 1.000e-13, 1.000e-13
3a, 0.000e+00, 0.000e+00, 0.000e+00, 1.000e-13, 1.000e-13, 1.000e-13
3b, 5.787e-04, 5.787e-04, 5.787e-04, 1.000e-13, 1.000e-13, 1.000e-13
3c, 0.000e+00, 0.000e+00, 0.000e+00, 1.000e-13, 1.000e-13, 1.000e-13
3d, 5.787e-04, 5.787e-04, 5.787e-04, 1.000e-13, 1.000e-13, 1.000e-13
4a, 8.965e-05, 8.965e-05, 8.965e-05, 1.000e-13, 1.000e-13, 1.000e-13
4b, 0.000e+00, 0.000e+00, 0.000e+00, 1.000e-13, 1.000e-13, 1.000e-13
4c, 0.000e+00, 0.000e+00, 0.000e+00, 1.000e-13, 1.000e-13, 1.000e-13
4d, 0.000e+00, 0.000e+00, 0.000e+00, 1.000e-13, 1.000e-13, 1.000e-13
5, 0, 0.000e+00, 0, 1.000e-13, 1.000e-13, 1.000e-13
6, 5.787e-04, 5.787e-04, 5.787e-04, 1.000e-13, 1.000e-13, 1.000e-13
