#t, p1, p2, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, M_C, totM_co2 
3.000e+02, 1.094e+05, 1.035e+05,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00000 , 0.00009 
6.000e+02, 1.094e+05, 1.036e+05,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00000 , 0.00018 
9.000e+02, 1.095e+05, 1.036e+05,  1.919e-05, 0.000e+00, 2.375e-05, 9.597e-06, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.14291 , 0.00027 
1.200e+03, 1.096e+05, 1.037e+05,  2.009e-04, 0.000e+00, 9.114e-05, 1.004e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.53888 , 0.00036 
1.500e+03, 1.096e+05, 1.037e+05,  2.010e-04, 0.000e+00, 1.122e-04, 1.005e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.91172 , 0.00045 
1.800e+03, 1.097e+05, 1.038e+05,  2.010e-04, 0.000e+00, 1.304e-04, 1.005e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.27827 , 0.00054 
2.100e+03, 1.097e+05, 1.039e+05,  2.009e-04, 0.000e+00, 1.431e-04, 1.005e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.46076 , 0.00063 
2.400e+03, 1.098e+05, 1.039e+05,  2.009e-04, 0.000e+00, 1.455e-04, 1.005e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.45003 , 0.00072 
2.700e+03, 1.099e+05, 1.040e+05,  2.009e-04, 0.000e+00, 1.457e-04, 1.005e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.44071 , 0.00081 
3.000e+03, 1.099e+05, 1.041e+05,  2.009e-04, 0.000e+00, 1.463e-04, 1.004e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.43072 , 0.00090 
3.300e+03, 1.100e+05, 1.041e+05,  2.009e-04, 0.000e+00, 1.505e-04, 1.004e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.42051 , 0.00099 
3.600e+03, 1.101e+05, 1.042e+05,  2.009e-04, 0.000e+00, 1.630e-04, 1.004e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.44381 , 0.00108 
3.900e+03, 1.102e+05, 1.043e+05,  2.008e-04, 0.000e+00, 1.772e-04, 1.004e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.45914 , 0.00117 
4.200e+03, 1.103e+05, 1.044e+05,  2.008e-04, 0.000e+00, 1.853e-04, 1.004e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.47252 , 0.00126 
4.500e+03, 1.103e+05, 1.045e+05,  2.008e-04, 0.000e+00, 1.906e-04, 1.004e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.46437 , 0.00135 
4.800e+03, 1.104e+05, 1.045e+05,  2.008e-04, 0.000e+00, 2.148e-04, 1.004e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.46562 , 0.00143 
5.100e+03, 1.105e+05, 1.046e+05,  2.122e-04, 0.000e+00, 2.321e-04, 1.061e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.51581 , 0.00152 
5.400e+03, 1.106e+05, 1.047e+05,  2.236e-04, 0.000e+00, 2.500e-04, 1.118e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.52840 , 0.00161 
5.700e+03, 1.107e+05, 1.048e+05,  2.712e-04, 0.000e+00, 2.827e-04, 1.356e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.58045 , 0.00170 
6.000e+03, 1.108e+05, 1.049e+05,  3.535e-04, 0.000e+00, 2.870e-04, 1.768e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.62547 , 0.00179 
6.300e+03, 1.108e+05, 1.050e+05,  4.033e-04, 0.000e+00, 2.952e-04, 2.016e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.64793 , 0.00188 
6.600e+03, 1.109e+05, 1.050e+05,  4.951e-04, 0.000e+00, 2.836e-04, 2.476e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.68343 , 0.00197 
6.900e+03, 1.110e+05, 1.051e+05,  5.632e-04, 0.000e+00, 2.987e-04, 2.816e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.73094 , 0.00206 
7.200e+03, 1.111e+05, 1.052e+05,  6.267e-04, 0.000e+00, 2.926e-04, 3.134e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.73091 , 0.00215 
7.500e+03, 1.112e+05, 1.053e+05,  7.361e-04, 0.000e+00, 3.064e-04, 3.680e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.76389 , 0.00224 
7.800e+03, 1.112e+05, 1.054e+05,  7.638e-04, 0.000e+00, 3.059e-04, 3.819e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.77152 , 0.00233 
8.100e+03, 1.113e+05, 1.054e+05,  8.962e-04, 0.000e+00, 3.332e-04, 4.481e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.77112 , 0.00241 
8.400e+03, 1.114e+05, 1.056e+05,  9.382e-04, 0.000e+00, 3.455e-04, 4.691e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.79964 , 0.00259 
8.700e+03, 1.115e+05, 1.057e+05,  9.893e-04, 0.000e+00, 3.382e-04, 4.947e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.83440 , 0.00277 
9.000e+03, 1.116e+05, 1.058e+05,  1.085e-03, 0.000e+00, 3.319e-04, 5.424e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.82495 , 0.00296 
9.300e+03, 1.118e+05, 1.059e+05,  1.129e-03, 0.000e+00, 3.409e-04, 5.647e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.85094 , 0.00314 
9.600e+03, 1.119e+05, 1.060e+05,  1.198e-03, 0.000e+00, 3.418e-04, 5.990e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.83618 , 0.00332 
9.900e+03, 1.120e+05, 1.061e+05,  1.291e-03, 0.000e+00, 3.465e-04, 6.455e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.86927 , 0.00349 
1.020e+04, 1.121e+05, 1.062e+05,  1.357e-03, 0.000e+00, 3.621e-04, 6.784e-04, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 1.82794 , 0.00367 
1.050e+04, 1.123e+05, 1.064e+05,  1.469e-03, 0.000e+00, 3.593e-04, 7.344e-04, 0.000e+00, 0.000e+00, 3.202e-09, 0.000e+00, 1.81645 , 0.00385 
1.080e+04, 1.124e+05, 1.065e+05,  1.491e-03, 0.000e+00, 3.671e-04, 7.457e-04, 2.517e-06, 5.751e-07, 7.986e-06, 0.000e+00, 1.79805 , 0.00403 
1.110e+04, 1.126e+05, 1.067e+05,  1.551e-03, 0.000e+00, 3.817e-04, 7.753e-04, 2.625e-05, 8.642e-06, 3.820e-05, 0.000e+00, 1.75463 , 0.00421 
1.140e+04, 1.127e+05, 1.069e+05,  1.586e-03, 0.000e+00, 3.905e-04, 7.931e-04, 4.256e-05, 5.058e-06, 7.136e-05, 0.000e+00, 1.72639 , 0.00439 
1.170e+04, 1.129e+05, 1.070e+05,  1.588e-03, 0.000e+00, 3.922e-04, 7.939e-04, 6.273e-05, 3.316e-06, 1.047e-04, 0.000e+00, 1.74132 , 0.00457 
1.200e+04, 1.130e+05, 1.071e+05,  1.646e-03, 0.000e+00, 3.996e-04, 8.229e-04, 8.117e-05, 1.273e-06, 1.241e-04, 0.000e+00, 1.71699 , 0.00475 
1.230e+04, 1.132e+05, 1.073e+05,  1.670e-03, 0.000e+00, 4.022e-04, 8.348e-04, 8.468e-05, 8.218e-06, 1.462e-04, 0.000e+00, 1.71531 , 0.00492 
1.260e+04, 1.134e+05, 1.075e+05,  1.748e-03, 0.000e+00, 4.075e-04, 8.742e-04, 1.147e-04, 6.037e-06, 1.649e-04, 0.000e+00, 1.69876 , 0.00510 
1.290e+04, 1.135e+05, 1.076e+05,  1.805e-03, 0.000e+00, 4.030e-04, 9.023e-04, 1.385e-04, 7.420e-07, 1.796e-04, 0.000e+00, 1.69985 , 0.00528 
1.320e+04, 1.137e+05, 1.078e+05,  1.899e-03, 0.000e+00, 3.987e-04, 9.495e-04, 1.430e-04, 2.012e-06, 1.923e-04, 0.000e+00, 1.67683 , 0.00546 
1.350e+04, 1.139e+05, 1.080e+05,  1.931e-03, 0.000e+00, 4.024e-04, 9.656e-04, 1.513e-04, 0.000e+00, 2.026e-04, 0.000e+00, 1.67257 , 0.00563 
