#t, p1, p2, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, M_C, totM_co2 
3.000e+02, 1.094e+05, 1.035e+05,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00000 , 0.00059 
6.000e+02, 1.094e+05, 1.035e+05,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00000 , 0.00117 
9.000e+02, 1.094e+05, 1.035e+05,  0.000e+00, 0.000e+00, 9.950e-08, 0.000e+00,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00000 , 0.00175 
1.200e+03, 1.094e+05, 1.035e+05,  3.081e-04, 0.000e+00, 6.503e-04, 3.081e-04,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00053 , 0.00234 
1.500e+03, 1.094e+05, 1.035e+05,  5.582e-04, 2.482e-04, 9.039e-04, 8.064e-04,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00114 , 0.00292 
1.800e+03, 1.094e+05, 1.035e+05,  9.921e-05, 7.070e-04, 1.113e-03, 8.062e-04,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00176 , 0.00350 
2.100e+03, 1.094e+05, 1.035e+05,  1.015e-04, 7.069e-04, 1.295e-03, 8.084e-04,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00234 , 0.00408 
2.400e+03, 1.094e+05, 1.035e+05,  1.017e-04, 7.071e-04, 1.488e-03, 8.088e-04,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00281 , 0.00467 
2.700e+03, 1.094e+05, 1.035e+05,  1.002e-04, 7.071e-04, 1.549e-03, 8.073e-04,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00281 , 0.00525 
3.000e+03, 1.094e+05, 1.035e+05,  1.010e-04, 7.071e-04, 1.571e-03, 8.082e-04,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00280 , 0.00583 
3.300e+03, 1.094e+05, 1.035e+05,  1.001e-04, 7.071e-04, 1.590e-03, 8.072e-04,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00278 , 0.00641 
3.600e+03, 1.094e+05, 1.035e+05,  1.009e-04, 7.072e-04, 1.634e-03, 8.081e-04,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00277 , 0.00699 
3.900e+03, 1.094e+05, 1.035e+05,  1.022e-04, 7.072e-04, 1.835e-03, 8.094e-04,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00266 , 0.00757 
4.200e+03, 1.094e+05, 1.035e+05,  1.024e-04, 7.071e-04, 2.018e-03, 8.095e-04,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00254 , 0.00816 
4.500e+03, 1.094e+05, 1.035e+05,  1.016e-04, 7.071e-04, 2.145e-03, 8.087e-04,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00247 , 0.00874 
4.800e+03, 1.094e+05, 1.035e+05,  1.005e-04, 7.071e-04, 2.396e-03, 8.076e-04,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00240 , 0.00932 
5.100e+03, 1.094e+05, 1.035e+05,  9.975e-05, 7.071e-04, 2.567e-03, 8.069e-04,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00239 , 0.00990 
5.400e+03, 1.094e+05, 1.035e+05,  8.372e-05, 7.231e-04, 2.751e-03, 8.068e-04,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00240 , 0.01048 
5.700e+03, 1.094e+05, 1.035e+05,  1.894e-04, 7.071e-04, 2.913e-03, 8.965e-04,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00240 , 0.01106 
6.000e+03, 1.094e+05, 1.035e+05,  2.198e-04, 7.568e-04, 3.075e-03, 9.765e-04,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00238 , 0.01164 
6.300e+03, 1.094e+05, 1.035e+05,  3.882e-04, 8.522e-04, 3.226e-03, 1.240e-03,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00240 , 0.01222 
6.600e+03, 1.094e+05, 1.035e+05,  7.750e-04, 8.962e-04, 3.170e-03, 1.671e-03,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00241 , 0.01280 
6.900e+03, 1.094e+05, 1.035e+05,  5.703e-04, 1.451e-03, 3.174e-03, 2.021e-03,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00234 , 0.01338 
7.200e+03, 1.094e+05, 1.035e+05,  7.579e-04, 1.629e-03, 3.091e-03, 2.387e-03,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00239 , 0.01397 
7.500e+03, 1.094e+05, 1.035e+05,  7.364e-04, 1.990e-03, 3.071e-03, 2.726e-03,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00242 , 0.01455 
7.800e+03, 1.094e+05, 1.035e+05,  6.038e-04, 2.391e-03, 3.038e-03, 2.995e-03,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00240 , 0.01513 
8.100e+03, 1.094e+05, 1.035e+05,  6.641e-04, 2.690e-03, 2.911e-03, 3.354e-03,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00241 , 0.01571 
8.400e+03, 1.094e+05, 1.035e+05,  4.442e-04, 3.186e-03, 2.937e-03, 3.630e-03,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00242 , 0.01688 
8.700e+03, 1.094e+05, 1.035e+05,  4.351e-04, 3.368e-03, 2.945e-03, 3.803e-03,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00246 , 0.01804 
9.000e+03, 1.094e+05, 1.035e+05,  3.029e-04, 3.690e-03, 2.992e-03, 3.993e-03,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00249 , 0.01921 
9.300e+03, 1.094e+05, 1.035e+05,  2.887e-04, 3.912e-03, 2.949e-03, 4.200e-03,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00256 , 0.02038 
9.600e+03, 1.094e+05, 1.035e+05,  6.223e-04, 4.006e-03, 2.818e-03, 4.628e-03,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00252 , 0.02154 
9.900e+03, 1.094e+05, 1.035e+05,  7.542e-04, 4.236e-03, 2.735e-03, 4.990e-03,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00260 , 0.02270 
1.020e+04, 1.094e+05, 1.035e+05,  6.632e-04, 4.692e-03, 2.667e-03, 5.355e-03,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00267 , 0.02387 
1.050e+04, 1.094e+05, 1.035e+05,  5.432e-04, 5.005e-03, 2.696e-03, 5.548e-03,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00282 , 0.02503 
1.080e+04, 1.094e+05, 1.035e+05,  3.898e-04, 5.390e-03, 2.674e-03, 5.780e-03,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00284 , 0.02619 
1.110e+04, 1.094e+05, 1.035e+05,  6.127e-04, 5.619e-03, 2.414e-03, 6.232e-03,  0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.00296 , 0.02736 
