# idx, p10_mean, p50_mean, p90_mean, p10_dev, p50_dev, p90_dev
1a, 1.096e+05, 1.109e+05, 1.128e+05, 1.000e-13, 1.835e-02, 1.000e-13
1b, 1.037e+05, 1.052e+05,  1.071e+05, 1.000e-13, 1.715e-02, 1.000e-13
2,  5.507e+05, 2.680e+06, 4.807e+06, 1.000e-13, 2.661e+06, 1.000e-13
3a, 0.000e+00, 0.000e+00, 1.150e-02, 1.000e-13, 1.000e-13, 1.000e-13
3b, 8.108e-04, 1.209e-03, 8.939e-03, 1.000e-13, 1.000e-13, 1.000e-13
3c, 1.166e-04, 4.624e-04, 1.973e-03, 1.000e-13, 1.000e-13, 1.000e-13
3d, 4.345e-02, 4.345e-02, 4.345e-02, 1.000e-13, 1.000e-13, 1.000e-13
4a, 0.0000e+0, 0.000e+0, 5.379e-05, 1.000e-13,  1.000e-13, 1.000e-13
4b, 0.000e+00, 0.000e+00, 0.000e+00, 1.000e-13, 1.000e-13, 1.000e-13
4c, 9.648e-09, 6.394e-08, 1.725e-04, 1.000e-13, 1.000e-13, 1.000e-13
4d, 0.000e+00, 0.000e+00, 0.000e+00, 1.000e-13, 1.000e-13, 1.000e-13
5,  0, 1.200e+03, 0, 1.000e-13, 1.000e-13, 1.000e-13
6,  5.851e-04, 1.16e-03, 7.442e-3, 1.000e-13, 1.000e-13, 1.000e-13
